"Year","Age","Total Payment","After Tax Outlay","Account Value","Surrender Value","Death Benefit","Fixed Interest Rate","Indexed Interest Rate",
1,64,170896,170896,138836,0,4000000,3.50%,6.59%,
2,65,170896,170896,282038,64718,4000000,3.50%,6.59%,
3,66,170896,170896,431701,222781,4000000,3.50%,6.59%,
4,67,170896,170896,588069,387509,4000000,3.50%,6.59%,
5,68,170896,170896,750605,558325,4000000,3.50%,6.59%,
6,69,170896,170896,920117,735997,4000000,3.50%,6.59%,
7,70,170896,170896,1098200,922200,4000000,3.50%,6.59%,
8,71,170896,170896,1284637,1116597,4000000,3.50%,6.59%,
9,72,170896,170896,1479493,1319293,4000000,3.50%,6.59%,
10,73,170896,170896,1682477,1529997,4000000,3.50%,6.59%,
11,74,0,0,1750155,1632995,4000000,3.50%,6.59%,
12,75,0,0,1819227,1735787,4000000,3.50%,6.59%,
13,76,0,0,1891274,1838554,4000000,3.50%,6.59%,
14,77,0,0,1964432,1939472,4000000,3.50%,6.59%,
15,78,0,0,2038100,2038100,4000000,3.50%,6.59%,
16,79,0,0,2113660,2113660,4000000,3.50%,6.59%,
17,80,0,0,2188572,2188572,4000000,3.50%,6.59%,
18,81,0,0,2262723,2262723,4000000,3.50%,6.59%,
19,82,0,0,2335991,2335991,4000000,3.50%,6.59%,
20,83,0,0,2408253,2408253,4000000,3.50%,6.59%,
21,84,0,0,2480095,2480095,4000000,3.50%,6.59%,
22,85,0,0,2549757,2549757,4000000,3.50%,6.59%,
23,86,0,0,2615560,2615560,4000000,3.50%,6.59%,
24,87,0,0,2675547,2675547,4000000,3.50%,6.59%,
25,88,0,0,2726821,2726821,4000000,3.50%,6.59%,
26,89,0,0,2769316,2769316,4000000,3.50%,6.59%,
27,90,0,0,2803678,2803678,4000000,3.50%,6.59%,
28,91,0,0,2828166,2828166,4000000,3.50%,6.59%,
29,92,0,0,2836412,2836412,4000000,3.50%,6.59%,
30,93,0,0,2823785,2823785,4000000,3.50%,6.59%,
31,94,0,0,2778759,2778759,4000000,3.50%,6.59%,
32,95,0,0,2690046,2690046,4000000,3.50%,6.59%,
33,96,0,0,2540060,2540060,4000000,3.50%,6.59%,
34,97,0,0,2289814,2289814,4000000,3.50%,6.59%,
35,98,0,0,1876899,1876899,4000000,3.50%,6.59%,
36,99,0,0,1185820,1185820,4000000,3.50%,6.59%,
37,100,0,0,82,82,4000000,3.50%,6.59%,
38,101,0,0,3409,3409,4000000,3.50%,6.59%,
39,102,0,0,3538,3538,4000000,3.50%,6.59%,
40,103,0,0,3671,3671,4000000,3.50%,6.59%,
41,104,0,0,3809,3809,4000000,3.50%,6.59%,
42,105,0,0,3952,3952,4000000,3.50%,6.59%,
43,106,0,0,4100,4100,4000000,3.50%,6.59%,
44,107,0,0,4255,4255,4000000,3.50%,6.59%,
45,108,0,0,4415,4415,4000000,3.50%,6.59%,
46,109,0,0,4580,4580,4000000,3.50%,6.59%,
47,110,0,0,4753,4753,4000000,3.50%,6.59%,
48,111,0,0,4931,4931,4000000,3.50%,6.59%,
49,112,0,0,5117,5117,4000000,3.50%,6.59%,
50,113,0,0,5309,5309,4000000,3.50%,6.59%,
51,114,0,0,5509,5509,4000000,3.50%,6.59%,
52,115,0,0,5716,5716,4000000,3.50%,6.59%,
53,116,0,0,5931,5931,4000000,3.50%,6.59%,
54,117,0,0,6154,6154,4000000,3.50%,6.59%,
55,118,0,0,6385,6385,4000000,3.50%,6.59%,
56,119,0,0,6625,6625,4000000,3.50%,6.59%,
57,120,0,0,6874,6874,4000000,3.50%,6.59%,
58,121,0,0,7133,7133,4000000,3.50%,6.59%,
59,122,0,0,7347,7347,4000000,3.00%,6.59%,
60,123,0,0,7567,7567,4000000,3.00%,6.59%,
61,124,0,0,7794,7794,4000000,3.00%,6.59%,
62,125,0,0,8028,8028,4000000,3.00%,6.59%,
63,126,0,0,8269,8269,4000000,3.00%,6.59%,
