"Year","Age","Total Payment","After Tax Outlay","Account Value","Surrender Value","Death Benefit","Fixed Interest Rate","Indexed Interest Rate",
1,64,42834,42834,34751,0,1000000,3.50%,6.59%,
2,65,42834,42834,70596,16266,1000000,3.50%,6.59%,
3,66,42834,42834,108059,55829,1000000,3.50%,6.59%,
4,67,42834,42834,147202,97062,1000000,3.50%,6.59%,
5,68,42834,42834,187889,139819,1000000,3.50%,6.59%,
6,69,42834,42834,230323,184293,1000000,3.50%,6.59%,
7,70,42834,42834,274903,230903,1000000,3.50%,6.59%,
8,71,42834,42834,321576,279566,1000000,3.50%,6.59%,
9,72,42834,42834,370358,330308,1000000,3.50%,6.59%,
10,73,42834,42834,421176,383056,1000000,3.50%,6.59%,
11,74,0,0,438077,408787,1000000,3.50%,6.59%,
12,75,0,0,455325,434465,1000000,3.50%,6.59%,
13,76,0,0,473317,460137,1000000,3.50%,6.59%,
14,77,0,0,491586,485346,1000000,3.50%,6.59%,
15,78,0,0,509981,509981,1000000,3.50%,6.59%,
16,79,0,0,528850,528850,1000000,3.50%,6.59%,
17,80,0,0,547556,547556,1000000,3.50%,6.59%,
18,81,0,0,566071,566071,1000000,3.50%,6.59%,
19,82,0,0,584365,584365,1000000,3.50%,6.59%,
20,83,0,0,602408,602408,1000000,3.50%,6.59%,
21,84,0,0,620346,620346,1000000,3.50%,6.59%,
22,85,0,0,637740,637740,1000000,3.50%,6.59%,
23,86,0,0,654170,654170,1000000,3.50%,6.59%,
24,87,0,0,669147,669147,1000000,3.50%,6.59%,
25,88,0,0,681947,681947,1000000,3.50%,6.59%,
26,89,0,0,692555,692555,1000000,3.50%,6.59%,
27,90,0,0,701129,701129,1000000,3.50%,6.59%,
28,91,0,0,707236,707236,1000000,3.50%,6.59%,
29,92,0,0,709283,709283,1000000,3.50%,6.59%,
30,93,0,0,706113,706113,1000000,3.50%,6.59%,
31,94,0,0,694843,694843,1000000,3.50%,6.59%,
32,95,0,0,672652,672652,1000000,3.50%,6.59%,
33,96,0,0,635141,635141,1000000,3.50%,6.59%,
34,97,0,0,572564,572564,1000000,3.50%,6.59%,
35,98,0,0,469318,469318,1000000,3.50%,6.59%,
36,99,0,0,296527,296527,1000000,3.50%,6.59%,
37,100,0,0,64,64,1000000,3.50%,6.59%,
38,101,0,0,899,899,1000000,3.50%,6.59%,
39,102,0,0,932,932,1000000,3.50%,6.59%,
40,103,0,0,968,968,1000000,3.50%,6.59%,
41,104,0,0,1004,1004,1000000,3.50%,6.59%,
42,105,0,0,1042,1042,1000000,3.50%,6.59%,
43,106,0,0,1081,1081,1000000,3.50%,6.59%,
44,107,0,0,1122,1122,1000000,3.50%,6.59%,
45,108,0,0,1164,1164,1000000,3.50%,6.59%,
46,109,0,0,1208,1208,1000000,3.50%,6.59%,
47,110,0,0,1253,1253,1000000,3.50%,6.59%,
48,111,0,0,1300,1300,1000000,3.50%,6.59%,
49,112,0,0,1349,1349,1000000,3.50%,6.59%,
50,113,0,0,1400,1400,1000000,3.50%,6.59%,
51,114,0,0,1453,1453,1000000,3.50%,6.59%,
52,115,0,0,1507,1507,1000000,3.50%,6.59%,
53,116,0,0,1564,1564,1000000,3.50%,6.59%,
54,117,0,0,1623,1623,1000000,3.50%,6.59%,
55,118,0,0,1684,1684,1000000,3.50%,6.59%,
56,119,0,0,1747,1747,1000000,3.50%,6.59%,
57,120,0,0,1813,1813,1000000,3.50%,6.59%,
58,121,0,0,1881,1881,1000000,3.50%,6.59%,
59,122,0,0,1938,1938,1000000,3.00%,6.59%,
60,123,0,0,1996,1996,1000000,3.00%,6.59%,
61,124,0,0,2056,2056,1000000,3.00%,6.59%,
62,125,0,0,2117,2117,1000000,3.00%,6.59%,
63,126,0,0,2181,2181,1000000,3.00%,6.59%,
