"Year","Age","Total Payment","After Tax Outlay","Account Value","Surrender Value","Death Benefit","Fixed Interest Rate","Indexed Interest Rate",
1,50,5000000,5000000,4100000,3800000,35000000,3.50%,6.50%,
2,51,0,0,4366500,4100000,35000000,3.50%,6.50%,
3,52,0,0,4650322,4420000,35000000,3.50%,6.50%,
4,53,0,0,4952593,4760000,35000000,3.50%,6.50%,
5,54,0,0,5274512,5120000,35000000,3.50%,6.50%,
6,55,0,0,5617355,5617355,35000000,3.50%,6.50%,
7,56,0,0,5982483,5982483,35000000,3.50%,6.50%,
8,57,0,0,6371344,6371344,35000000,3.50%,6.50%,
9,58,0,0,6785482,6785482,35000000,3.50%,6.50%,
10,59,0,0,7226538,7226538,35000000,3.50%,6.50%,
15,64,0,0,9800000,9800000,35000000,3.50%,6.50%,
20,69,0,0,13200000,13200000,35000000,3.50%,6.50%,
25,74,0,0,17800000,17800000,35000000,3.50%,6.50%,
30,79,0,0,24000000,24000000,35000000,3.50%,6.50%,
40,89,0,0,43600000,43600000,43600000,3.50%,6.50%,
