"Year","Age","Total Payment","After Tax Outlay","Account Value","Surrender Value","Death Benefit","Fixed Interest Rate","Indexed Interest Rate",
1,45,25000,25000,20000,10000,1500000,3.00%,6.00%,
2,46,25000,25000,41200,26200,1500000,3.00%,6.00%,
3,47,25000,25000,63672,43672,1500000,3.00%,6.00%,
4,48,25000,25000,87492,67492,1500000,3.00%,6.00%,
5,49,25000,25000,112742,92742,1500000,3.00%,6.00%,
6,50,25000,25000,139506,139506,1500000,3.00%,6.00%,
7,51,25000,25000,167877,167877,1500000,3.00%,6.00%,
8,52,25000,25000,197949,197949,1500000,3.00%,6.00%,
9,53,25000,25000,229826,229826,1500000,3.00%,6.00%,
10,54,25000,25000,263616,263616,1500000,3.00%,6.00%,
15,59,25000,25000,467215,467215,1500000,3.00%,6.00%,
20,64,25000,25000,739712,739712,1500000,3.00%,6.00%,
25,69,25000,25000,1104860,1104860,1500000,3.00%,6.00%,
30,74,25000,25000,1594000,1594000,1594000,3.00%,6.00%,
40,84,25000,25000,3140000,3140000,3140000,3.00%,6.00%,
45,89,25000,25000,4320000,4320000,4320000,3.00%,6.00%,
46,90,25000,25000,4600000,4600000,4600000,3.00%,6.00%,
