"Year","Age","Total Payment","After Tax Outlay","Account Value","Surrender Value","Death Benefit","Fixed Interest Rate","Indexed Interest Rate",
1,55,100000,100000,82000,60000,2500000,3.50%,6.25%,
2,56,100000,100000,169000,135000,2500000,3.50%,6.25%,
3,57,100000,100000,261200,221200,2500000,3.50%,6.25%,
4,58,100000,100000,358932,318932,2500000,3.50%,6.25%,
5,59,100000,100000,462538,422538,2500000,3.50%,6.25%,
6,60,0,0,491446,491446,2500000,3.50%,6.25%,
7,61,0,0,522162,522162,2500000,3.50%,6.25%,
8,62,0,0,554797,554797,2500000,3.50%,6.25%,
9,63,0,0,589472,589472,2500000,3.50%,6.25%,
10,64,0,0,626314,626314,2500000,3.50%,6.25%,
15,69,0,0,845000,845000,2500000,3.50%,6.25%,
20,74,0,0,1140000,1140000,2500000,3.50%,6.25%,
25,79,0,0,1538000,1538000,2500000,3.50%,6.25%,
30,84,0,0,2076000,2076000,2500000,3.50%,6.25%,
35,89,0,0,2800000,2800000,2800000,3.50%,6.25%,
36,90,0,0,2980000,2980000,2980000,3.50%,6.25%,
